Participating Agencies,Agencies Reporting 1 or more Hate Crime,Total Hate Crime Incidents Reported,Anti-Black,Anti-White,Anti-Asian/Pacific Islander ,Anti-Native American,Anti-Arab***,Total,Anti- Hispanic,Total.1,Anti-Jewish,Sex_Orient_Total,Disability_Total,Gender_Total,Gender_ID_Total,Year,AntiJewish_Pct_Of_Relig_Bias,AntiCatholic,AntiProtestant,AntiIslam,AntiHindu,AntiSikh,RacialBiasTotal,EthnicBiasTotal,ReligBiasTotal,Anti-Hindu***,Anti-Sikh***
14997,1742,5850,"('1745', '29.8')","('613', '10.5')","('115', '2.1')","('131', '2.2')","('37', '0.6')",556/9.5,"('299', '5.1')","1,244/21.3","('664', '11.4')","(' 1053', '18.0 ')","('74', '1.3')","('23', '0.4')",114/1.9,2015,53,58.88888889,61.66666667,58.40909091,50.0,60.0,"('2754', '47.1')","('556', '9.5')","('1244', '21.3')",,
15494,1666,5479,"('1621', '29.6')","('593', '10.9')","('143', '2.6')","('130', '4.6')",,648/11.8,"('299', '5.5')","1,014/18.5","('609', '11.1')","('1017', '18.6')","('84', '1.5')","('33', '0.6')",98/1.8,2014,60,53.33333333,50.0,55.0,,,"('2568', '46.9')","('648', '11.8')","('1014', '18.5')",,
15016,1826,5928,"('1856', '31.3')","('653', '11.0')","('138', '2.3')","('129', '4.3')",,655/11.0,"('331', '5.6')","1,031/17.4","('625', '10.5')","('1233', '20.8')","('83', '1.4')","('18', '0.3')",31/0.5,2013,61,58.33333333,58.33333333,58.69565217,,,"('2871', '48.4')","('655', '11.0')","('1031', '17.4')",,
14511,1944,5796,"('1805', '31.1')","('657', '11.3')","('121', '2.1')","('101', '1.7')",,667/11.5,"('384', '6.6')","1,099/19.0","('674', '11.6')","('1135', '19.6')","('92', '1.6')",,,2012,65,58.33333333,55.0,59.09090909,,,"('2797', '48.3')","('667', '11.5')","('1099', '19.0')",,
14575,1944,6222,"('2076', '33.4')","('504', '8.1')","('138', '2.2')","('61', '1.9')",,720/11.6,"('405', '6.5')","1,233/19.8","('771', '12.4')","('1293', '20.8')","('53', '0.9')",,,2011,63,55.83333333,62.85714286,62.8,,,"('2917', '46.9')","('720', '11.6')","('1233', '19.8')",,
14977,1949,6628,"('2201', '33.2')","('575', '8.7')","('150', '2.3')","('44', '1.2')",,847/12.8,"('534', '8.1')","1,322/19.9","('887', '13.4')","('1277', '19.3')","('43', '0.7')",,,2010,67,64.44444444,68.33333333,66.66666667,,,"('3135', '47.3')","('847', '12.8')","('1322', '19.9')",,
14422,2034,6604,"('2284', '34.6')","('545', '8.3')","('126', '1.9')","('65', '2.1')",,777/11.8,"('483', '7.3')","1,303/19.7","('931', '14.1')","('1223', '18.5')","('96', '1.5')",,,2009,71,63.75,63.33333333,66.875,,,"('3119', '48.5')","('777', '11.8')","('1303', '19.7')",,
13690,2145,7783,"('2876', '36.9')","('716', '9.2')","('137', '1.8')","('54', '1.3')",,894/11.5,"('561', '7.2')","1,519/19.5","('1013', '13.0')","('1297', '16.7')","('78', '1.0')",,,2008,66,75.0,80.0,80.76923077,,,"('3992', '51.3')","('894', '11.5')","('1519', '19.5')",,
13241,2025,7624,"('2658', '34.9')","('749', '9.8')","('188', '2.5')","('61', '1.5')",,"1,007/13.2","('595', '7.8')","1,400/18.4","('969', '12.7')","('1265', '16.6')","('79', '1.0')",,,2007,69,76.25,71.25,76.66666667,,,"('3870', '50.8')","('1007', '13.2')","('1400', '18.4')",,
12620,2105,7722,"(' 2640', '34.2')","('890', '11.5')","('181', '2.3')","('60', '1.5')",,984/12.7,"('576', '7.5')","1,462/18.9","('967', '12.5')","('1195', '15.5')","('79', '1.0')",,,2006,66,76.0,73.75,78.0,,,"('4000', '51.8')","('984', '12.7')","('1462', '18.9')",,
