State,Penalty_Enhancement,PE_race_religion_ethnicity,PE_sexual_orientation,PE_gender,PE_gender_identity,PE_Disability,PE_other,Civil Action,Data_Collection,Police_Training,"Institutional
Vandalism",Cross Burning
Alabama,"AL ST § 13A-5-13
(1993) | http://codes.lp.findlaw.com/alcode/13A/5/1/13A-5-13",yes,,,,yes,,,,,AL ST § 13A-11-12 (1977) | http://codes.lp.findlaw.com/alcode/13A/11/1/13A-11-12,"AL ST § 13A-6-28
(2003) | http://codes.lp.findlaw.com/alcode/13A/6/2/13A-6-28"
Alaska,AS § 12.55.155 (1996) | http://touchngo.com/lglcntr/akstats/statutes/title12/chapter55/section155.htm,yes,,yes,,yes,,,,,,
Arizona,AZ ST § 13-701 | http://www.azleg.gov/FormatDocument.asp?inDoc=/ars/13/00701.htm&Title=13&DocType=ARS,yes,yes,yes,,yes,,,AZ ST § 41-1750 | http://www.azleg.state.az.us/FormatDocument.asp?inDoc=/ars/41/01750.htm&Title=41&DocType=ARS,AZ ST § 41-1750 | http://www.azleg.state.az.us/FormatDocument.asp?inDoc=/ars/41/01750.htm&Title=41&DocType=ARS,AZ ST § 13-1604 (1994) | http://www.azleg.state.az.us/FormatDocument.asp?inDoc=/ars/13/01604.htm&Title=13&DocType=ARS,AZ § 13-1707 | http://www.azleg.gov/FormatDocument.asp?inDoc=/ars/13/01707.htm&Title=13&DocType=ARS
Arkansas,,,,,,,,AR ST § 16-123-106 | n/a,,,AR ST § 5-38-301 | http://law.justia.com/codes/arkansas/2010/title-5/subtitle-4/chapter-38/subchapter-3/5-38-301/; AR ST § 5-71-215 | http://law.justia.com/codes/arkansas/2010/title-5/subtitle-6/chapter-71/subchapter-2/5-71-215/,
California,CA PENAL §  422.55 | http://www.leginfo.ca.gov/cgi-bin/displaycode?section=pen&group=00001-01000&file=422.55-422.57; CA PENAL § 422.7  | http://codes.lp.findlaw.com/cacode/PEN/3/1/11.6/2/s422.7; CA PENAL § 422.75 | http://codes.lp.findlaw.com/cacode/PEN/3/1/11.6/2/s422.75,yes,yes,yes,yes,yes,yes,CAL. CIV. CODE § 52 | http://codes.lp.findlaw.com/cacode/CIV/5/d1/2/s52,CA PENAL § 13023 (2005) | http://codes.lp.findlaw.com/cacode/PEN/3/4/3/1/2/s13023,CA PENAL § 13519.6 (2005) | http://codes.lp.findlaw.com/cacode/PEN/3/4/4/1/2/s13519.6,"CA PENAL § 594.3
(2005) | http://codes.lp.findlaw.com/cacode/PEN/3/1/14/s594.3; CA PENAL §  11413 | http://codes.lp.findlaw.com/cacode/PEN/3/4/1/3/4.5/s11413","CA PENAL § 11411
(1982) | http://codes.lp.findlaw.com/cacode/PEN/3/4/1/3/4.5/s11411"
Colorado,"CO ST § 18-9-121
(1988) | http://www.lpdirect.net/casb/crs/18-9-121.html",yes,yes,,yes,yes,yes,"CO ST § 13-21-106.5
(1991) | http://www.lpdirect.net/casb/crs/13-21-106_5.html",,,CO ST § 18-9-113 | http://www.lpdirect.net/casb/crs/18-9-113.html,
Connecticut,CT ST § 53a-40a | http://law.justia.com/codes/connecticut/2005/title53a/sec53a-40a.html; CT ST § 53a181(j-k) | http://law.justia.com/codes/connecticut/2011/title53a/chap952/Sec53a-181.html,yes,yes,yes,yes,yes,,CT ST § 52-571c  (1995) | http://law.justia.com/codes/connecticut/2011/title52/chap925/Sec52-571c.html,CT ST § 29-7m | http://law.justia.com/codes/connecticut/2005/title29/sec29-7m.html,CT ST § 4a-2c (1999) | http://law.justia.com/codes/connecticut/2011/title4a/chap057/Sec4a-2c.html; CT ST § 7-294n (2001) | http://law.justia.com/codes/connecticut/2011/title7/chap104/Sec7-294n.html,CT ST § 46a-58  (1984) | http://law.justia.com/codes/connecticut/2011/title46a/chap814c/Sec46a-58.html,CT ST § 46a-58  (1984) | http://law.justia.com/codes/connecticut/2011/title46a/chap814c/Sec46a-58.html
DC,D.C. Code § 22-3703 | http://dccode.org/simple/sections/22-3703.html,yes,yes,yes,yes,yes,yes,D.C. Code § 22-3704 | http://dccode.org/simple/sections/22-3704.html,D.C. Code § 22-3702 | http://dccode.org/simple/sections/22-3702.html,,"D.C. Code § 22-3312.01
(1983) | http://dccode.org/simple/sections/22-3312.01.html","D.C. Code § 22-3312.02
(1983) | http://dccode.org/simple/sections/22-3312.02.html"
Delaware,"DE ST TI 11 § 1304
(1995) | http://www.delcode.delaware.gov/title11/c005/sc07/index.shtml",yes,yes,yes,yes,yes,,,,,DE ST TI 11 § 1331 | http://codes.lp.findlaw.com/decode/11/5/VII/1331,DE ST TI 11 § 805 | http://codes.lp.findlaw.com/decode/11/5/III/805
Florida,FL ST § 775.085 (1992) | http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0700-0799/0775/Sections/0775.085.html,yes,yes,,,yes,yes,FL ST § 775.085 (1992) | http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0700-0799/0775/Sections/0775.085.html,FL ST § 877.19 (1996) | http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0800-0899/0877/Sections/0877.19.html,,FL ST § 806.13 (1995) | http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0800-0899/0806/Sections/0806.13.html,FL ST § 876.17 (1951) | http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0800-0899/0876/Sections/0876.17.html
Georgia,,,,,,,,,,,GA ST § 16-7-26 (1968) | http://law.justia.com/georgia/codes/2010/title-16/chapter-7/article-2/part-1/16-7-26/,GA ST § 16-11-37  (1974) | http://law.justia.com/georgia/codes/2010/title-16/chapter-11/article-2/16-11-37/
Hawaii,HI ST § 706-662 (1972) | http://codes.lp.findlaw.com/histatutes/5/37/706/IV/and/706-662,yes,yes,yes,yes,yes,yes,,HI ST § 846-52  (2001) | http://codes.lp.findlaw.com/histatutes/5/38/846/IV/846-52; HI ST § 846-53  (2001) | http://codes.lp.findlaw.com/histatutes/5/38/846/IV/846-53; HI ST § 846-54 (2001) | http://codes.lp.findlaw.com/histatutes/5/38/846/IV/846-54,,HI ST § 711-1107 (1993) | http://codes.lp.findlaw.com/histatutes/5/37/711/711-1107,
Idaho,ID ST § 18-7902  (1983) | http://legislature.idaho.gov/idstat/Title18/T18CH79SECT18-7902.htm; ID ST § 18-7903  (1983) | http://legislature.idaho.gov/idstat/Title18/T18CH79SECT18-7903.htm,yes,,,,,,"ID ST § 18-7903
(1983) | http://legislature.idaho.gov/idstat/Title18/T18CH79SECT18-7903.htm",ID ST § 67-2915 | http://www.legislature.idaho.gov/idstat/Title67/T67CH29SECT67-2915.htm,,ID ST § 18-7902 (1983) | http://legislature.idaho.gov/idstat/Title18/T18CH79SECT18-7902.htm,ID ST § 18-7902  (1983) | http://legislature.idaho.gov/idstat/Title18/T18CH79SECT18-7902.htm
Illinois,"IL ST CH 720 § 5/12-7.1
(1996) | http://law.onecle.com/illinois/720ilcs5/12-7.1.html",yes,yes,yes,yes,yes,,"IL ST CH 720 § 5/12-7.1
(1996) | http://law.onecle.com/illinois/720ilcs5/12-7.1.html","IL ST CH 20 § 2605/2605-390
(2000) | http://law.onecle.com/illinois/20ilcs2605/2605-390.html","IL ST CH 20 § 2605/2605-390
(2000) | http://law.onecle.com/illinois/20ilcs2605/2605-390.html",IL ST CH 720 § 5/21-1.2 | http://law.onecle.com/illinois/720ilcs5/21-1.2.html,IL ST CH 720 § 5/12-7.6 | http://law.onecle.com/illinois/720ilcs5/12-7.6.html
Indiana,,,,,,,,,IN ST 10-13-3-38 (2003) | https://iga.in.gov/legislative/laws/2015/ic/titles/010/articles/013/chapters/003/,,IN ST § 35-43-1-2 | https://iga.in.gov/legislative/laws/2015/ic/titles/035/articles/043/chapters/001/,
Iowa,IA ST § 792A.2 | http://law.justia.com/codes/iowa/2013/titlexvi/subtitle1/chapter729a/729a-2,yes,yes,yes,,yes,yes,IA ST § 729A.5 (1992) | http://coolice.legis.state.ia.us/cool-ice/default.asp?category=billinfo&service=iowacode&ga=83&input=729A,IA ST § 692.15 (1996) | http://coolice.legis.state.ia.us/cool-ice/default.asp?category=billinfo&service=iowacode&ga=83&input=692,IA ST § 729A.4 (1992) | http://coolice.legis.state.ia.us/cool-ice/default.asp?category=billinfo&service=iowacode&ga=83&input=729A,,
Kansas,KS ST 21-6815 | http://www.ksrevisor.org/statutes/chapters/ch21/021_068_0015.html,yes,yes,,,,,,,,KS ST 21-6205 | http://rvpolicy.kdor.ks.gov/Pilots/Ntrntpil/IPILv1x0.NSF/865782e7272861a38625655b004e9336/6faa8045e236d2da8625798a0069e62a?OpenDocument,
Kentucky,"KY ST § 532.031
(1998) | http://www.lrc.ky.gov/KRS/532-00/031.PDF",yes,yes,,,,,,KY ST § 17.1523 (2007) | http://www.lrc.ky.gov/KRS/017-00/1523.PDF,KY ST § 15.334 | http://www.lrc.ky.gov/krs/015-00/334.PDF,KY ST § 525.110 (1992) | http://www.lrc.ky.gov/KRS/525-00/110.PDF; KY ST § 525.113 (1998) | http://www.lrc.ky.gov/KRS/525-00/113.PDF,
