Year,Racial Bias,Ethnicity/National Origin,Religious Bias,Sexual Orientation,Disability,Gender,Gender Identity
2015,2754,556,1244,1053,74,23,114
2014,2568,648,1014,1017,84,33,98
2013,2871,655,1031,1233,83,18,31
2012,3101,742,1329,1299,96,,
2011,2917,720,1233,1293,53,,
2010,3135,847,1322,1277,43,,
2009,3119,777,1303,1223,96,,
2008,3992,894,1519,1297,78,,
2007,3870,1007,1400,1265,79,,
2006,4000,984,1462,1195,79,,
2005,3919,944,1227,1017,53,,
2004,4402,972,1374,1197,57,,
2003,3844,1026,1343,1239,33,,
2002,3642,1102,1426,1244,45,,
2001,4367,2098,1828,1393,35,,
2000,4337,911,1472,1299,36,,
