Year,Total,Anti-Jewish,Anti-Catholic,Anti-Protestant,Anti-Islamic,Anti- Hindu**,Anti- Sikh**
2015,1244,664,53,37,257,5,6
2014,1014,609,64,25,154,,
2013,1031,625,70,35,135,,
2012,1329,868,76,37,148,,
2011,1233,771,67,44,157,,
2010,1322,887,58,41,160,,
2009,1303,931,51,38,107,,
2008,1519,1013,75,56,105,,
2007,1400,969,61,57,115,,
2006,1462,967,76,59,156,,
2005,1227,848,58,57,128,,
2004,1374,954,57,38,156,,
2003,1343,927,76,49,149,,
2002,1426,931,53,55,155,,
2001,1828,1043,38,35,481,,
2000,1472,1109,56,59,28,,
