Unique_ID,Group,City,FBI_Field_Office,FBI_Resident_Agency ,Population_2015,2015_Incidents,2014_Incidents,2013_Incidents,2012_Incidents,Latitude,Longitude
G1D-2,Group 1-DNR,"Jacksonville, FL",1,0,867258,DNR,0,5,4,21.313743,-157.851044
G1D-1,Group 1-DNR,"Honolulu, HI",1,0,999307,DNR,DNR,DNR,DNR,30.326313,-81.651178
G1D-3,Group 1-DNR,"Portland, OR",1,0,628192,DNR,DNR,6,7,45.509906,-122.699634
G1D-4,Group 1-DNR,"Miami, FL",1,0,437969,DNR,0,0,0,25.829833,-80.283891
G1D-5,Group 1-DNR,"Tampa, FL",1,0,364383,DNR,0,0,0,27.988456,-82.464179
G1D-6,Group 1-DNR,"Orlando, FL*",0,1,268438,DNR,5,2,3,28.545742,-81.36734
G1D-7,Group 1-DNR,"St. Petersburg, FL",0,0,255821,DNR,0,1,0,27.775132,-82.644041
G2D-1,Group 2-DNR ,"Hialeah, FL",0,0,238132,DNR,0,0,0,25.844725,-80.302647
G2D-2,Group 2-DNR ,"Columbus, GA*",0,1,203778,DNR,DNR,0,2,32.472576,-84.991253
G2D-3,Group 2-DNR ,"Huntsville, AL*",0,1,190106,DNR,DNR,0,2,34.778199,-86.582662
G2D-4,Group 2-DNR ,"Fort Lauderdale, FL",0,0,178598,DNR,0,0,1,26.123496,-80.132818
G2D-5,Group 2-DNR ,"Cape Coral, FL",0,0,173844,DNR,1,0,1,26.568079,-81.948609
G2D-6,Group 2-DNR ,"Jackson, MS",1,0,170508,DNR,0,0,DNR,32.315211,-90.18735
G2D-7,Group 2-DNR ,"Hollywood, FL",0,0,149822,DNR,0,0,0,26.00738,-80.141914
G2D-8,Group 2-DNR ,"Miramar, FL",0,0,138330,DNR,1,1,3,25.987937,-80.224197
G2D-9,Group 2-DNR ,"Gresham, OR",0,0,110901,DNR,DNR,DNR,DNR,45.496213,-122.478009
G2D-10,Group 2-DNR ,"Pompano Beach, FL",0,0,107656,DNR,0,DNR,DNR,26.236983,-80.119801
G2D-11,Group 2-DNR ,"Lakeland, FL*",0,1,103498,DNR,0,0,1,28.035944,-81.93887
